id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
57818,Private house close to the beach!,275948,VonJon,,Hollywood,26.0167,-80.12437,Entire home/apt,163,2,45,2021-04-02,0.44,1,354
69824,2 bd/2ba Oceanfront Condo,351303,Tracy,,Hallandale Beach,25.97641,-80.12052,Entire home/apt,100,30,2,2021-03-27,0.05,2,296
83449,MARY POP APTS 2/1 APT SLEEP 5,454736,"Jon,  Mary Pop Apartments",,Dania Beach,26.03392,-80.14201,Entire home/apt,99,7,20,2020-01-26,0.17,8,1
105411,House in the Ranches,532930,Sonia,,Southwest Ranches,26.04678,-80.36809,Entire home/apt,235,4,5,2018-03-28,0.05,1,58
129061,MIAMI - LUXURY APARTMENT OVER BEACH,637272,Bianca,,Hollywood,25.99332,-80.11887,Entire home/apt,250,20,16,2021-03-26,0.13,6,333
129099,MIAMI - AMAZING APARTMENT OCEANVIEW,637272,Bianca,,Hollywood,25.99416,-80.11969,Entire home/apt,250,10,25,2021-03-15,0.21,6,331
191160,Tropical Beach Paradise Awaits You,924482,Dan,,Deerfield Beach,26.30707,-80.07793,Entire home/apt,119,2,25,2019-11-08,0.22,1,272
216046,The Ultimate Family Vacation Home  w/Dual Masters!,964836,Gary,,Hollywood,26.00746,-80.19631,Entire home/apt,276,2,56,2021-04-08,0.49,1,207
217990,COSY APT OVER THE BEACH,637272,Bianca,,Hollywood,25.9942,-80.11725,Entire home/apt,160,10,18,2018-03-19,0.16,6,258
229773,Gorgeous Private Las Olas-Idlewyld Home,1097874,Paul,,Fort Lauderdale,26.11784,-80.11059,Entire home/apt,414,4,80,2021-04-03,0.79,1,168
240409,"Ocean View Condo, Pompano Beach",1235314,Felix,,Pompano Beach,26.24347,-80.08914,Entire home/apt,175,7,0,,,1,365
241944,MARY POP APARTMENTS #203,454736,"Jon,  Mary Pop Apartments",,Dania Beach,26.03392,-80.14201,Entire home/apt,100,7,10,2021-01-01,0.09,8,300
256386,Country Living for Four,1304156,Nicolas,,Hollywood,26.0274,-80.14268,Entire home/apt,103,2,169,2021-04-26,1.49,3,319
297424,Clean/Modern 1/1 Apartment in Miramar,1532169,Christian,,Miramar,25.98802,-80.30724,Entire home/apt,70,2,2,2020-03-03,0.02,1,0
307735,Pleasant Room in Coral Springs,1583261,Luis,,Coral Springs,26.22994,-80.29244,Private room,55,2,18,2021-04-17,0.16,1,67
308839,Fabulous & Private 475 sq ft Suite,1585064,Deborah,,Miramar,25.98577,-80.31657,Private room,45,180,47,2020-03-31,0.42,2,322
320480,Casa Blanca - Sunny Florida Mansion,791089,Conrad,,Plantation,26.11315,-80.26487,Entire home/apt,300,7,6,2021-04-20,0.05,4,358
334321,S.Florida 1 Sunshine Vacation,407867,Eno,,Cooper City,26.05326,-80.28041,Private room,90,2,3,2016-03-06,0.03,2,330
334375,S.FloridaSunshineGetawayVacation HardRock Stadium,407867,Eno,,Cooper City,26.0534,-80.28132,Entire home/apt,250,3,8,2020-03-02,0.09,2,0
349538,Beachside Location! Central Beach | Resort Condo,1770887,Chris,,Fort Lauderdale,26.13588,-80.10394,Entire home/apt,289,7,32,2021-03-27,0.29,10,0
366178,TROPICAL GUEST HOUSE - Heart of Ft. Lauderdale!,1848829,Shirley,,Fort Lauderdale,26.12588,-80.13675,Entire home/apt,111,7,21,2021-04-10,0.19,2,333
367815,SPECTACULAR DIRECT OCEANFRONT VIEWS - Amazing,238902,Wanda,,Hollywood,26.00831,-80.11583,Entire home/apt,125,90,11,2019-04-01,0.10,1,358
