ID Group,Group,ID Year,Year,Commute Means,Commute Means Moe,Geography,ID Geography,Slug Geography,share
0,"Drove Alone",2019,"2019",167263,6961,"Miami, FL","16000US1245000","miami-fl",0.6816572050355167
1,"Carpooled",2019,"2019",19695,3027.3833586118562,"Miami, FL","16000US1245000","miami-fl",0.08026424644526585
2,"Public Transit",2019,"2019",19304,3822.3218074882184,"Miami, FL","16000US1245000","miami-fl",0.07867078006496127
3,"Taxi",2019,"2019",2455,874.0000000000001,"Miami, FL","16000US1245000","miami-fl",0.010005012694751342
4,"Motorcycle",2019,"2019",2505,1918,"Miami, FL","16000US1245000","miami-fl",0.01020878077407418
5,"Bicycle",2019,"2019",1278,723,"Miami, FL","16000US1245000","miami-fl",0.005208312107491737
6,"Walked",2019,"2019",11769,2287,"Miami, FL","16000US1245000","miami-fl",0.04796293051100959
7,"Other",2019,"2019",6243,2436,"Miami, FL","16000US1245000","miami-fl",0.02544248238424954
8,"Worked At Home",2019,"2019",14865,2725,"Miami, FL","16000US1245000","miami-fl",0.06058024998267971
0,"Drove Alone",2018,"2018",156750,6852,"Miami, FL","16000US1245000","miami-fl",0.6715161485175237
1,"Carpooled",2018,"2018",17993,2995.0135225070353,"Miami, FL","16000US1245000","miami-fl",0.07708191426013272
2,"Public Transit",2018,"2018",20803,3781.895027628345,"Miami, FL","16000US1245000","miami-fl",0.08911993899591736
3,"Taxi",2018,"2018",2753,926,"Miami, FL","16000US1245000","miami-fl",0.011793837045414627
4,"Motorcycle",2018,"2018",850,462,"Miami, FL","16000US1245000","miami-fl",0.003641395382710655
5,"Bicycle",2018,"2018",2253,1753.0000000000002,"Miami, FL","16000US1245000","miami-fl",0.009651839761467183
6,"Walked",2018,"2018",10883,2216,"Miami, FL","16000US1245000","miami-fl",0.046622712882400066
7,"Other",2018,"2018",6870,1815,"Miami, FL","16000US1245000","miami-fl",0.02943104268143788
8,"Worked At Home",2018,"2018",14272,2861,"Miami, FL","16000US1245000","miami-fl",0.06114117047299584
0,"Drove Alone",2017,"2017",150573,6446,"Miami, FL","16000US1245000","miami-fl",0.6805959220202769
1,"Carpooled",2017,"2017",19754,3021.409273832329,"Miami, FL","16000US1245000","miami-fl",0.08928886217043261
2,"Public Transit",2017,"2017",22360,3368.854998363687,"Miami, FL","16000US1245000","miami-fl",0.10106808535642772
3,"Taxi",2017,"2017",1733,968,"Miami, FL","16000US1245000","miami-fl",0.007833228619082703
4,"Motorcycle",2017,"2017",464,381,"Miami, FL","16000US1245000","miami-fl",0.0020972983723337416
5,"Bicycle",2017,"2017",1934,722,"Miami, FL","16000US1245000","miami-fl",0.008741756577787621
6,"Walked",2017,"2017",7690,2193,"Miami, FL","16000US1245000","miami-fl",0.03475910448975533
7,"Other",2017,"2017",2685,930,"Miami, FL","16000US1245000","miami-fl",0.012136306314043312
8,"Worked At Home",2017,"2017",14044,2548,"Miami, FL","16000US1245000","miami-fl",0.06347943607986006
0,"Drove Alone",2016,"2016",151248,7311.000000000001,"Miami, FL","16000US1245000","miami-fl",0.7229689680885643
1,"Carpooled",2016,"2016",18152,3238.782487293644,"Miami, FL","16000US1245000","miami-fl",0.0867669834228791
2,"Public Transit",2016,"2016",18834,2627.4700759475836,"Miami, FL","16000US1245000","miami-fl",0.09002695933156153
3,"Taxi",2016,"2016",474,336,"Miami, FL","16000US1245000","miami-fl",0.0022657310567675572
4,"Motorcycle",2016,"2016",275,288,"Miami, FL","16000US1245000","miami-fl",0.0013145064147913042
5,"Bicycle",2016,"2016",1626,801,"Miami, FL","16000US1245000","miami-fl",0.007772317928911493
6,"Walked",2016,"2016",7807,1698,"Miami, FL","16000US1245000","miami-fl",0.037317642110093495
7,"Other",2016,"2016",1463,658,"Miami, FL","16000US1245000","miami-fl",0.006993174126689738
8,"Worked At Home",2016,"2016",9325,1726.9999999999998,"Miami, FL","16000US1245000","miami-fl",0.0445737175197415
0,"Drove Alone",2015,"2015",145770,6145,"Miami, FL","16000US1245000","miami-fl",0.7061747294377537
1,"Carpooled",2015,"2015",17479,2691.7650343222754,"Miami, FL","16000US1245000","miami-fl",0.08467605197120462
2,"Public Transit",2015,"2015",22343,3243.8870202274306,"Miami, FL","16000US1245000","miami-fl",0.10823943184350505
3,"Taxi",2015,"2015",208,184,"Miami, FL","16000US1245000","miami-fl",0.0010076445340128474
4,"Motorcycle",2015,"2015",1060,592,"Miami, FL","16000US1245000","miami-fl",0.005135111567565472
5,"Bicycle",2015,"2015",2639,1102,"Miami, FL","16000US1245000","miami-fl",0.012784490025288002
6,"Walked",2015,"2015",6892,1876,"Miami, FL","16000US1245000","miami-fl",0.0333879140789257
7,"Other",2015,"2015",2897,1190,"Miami, FL","16000US1245000","miami-fl",0.014034356803053939
8,"Worked At Home",2015,"2015",7134,1692.0000000000002,"Miami, FL","16000US1245000","miami-fl",0.03456026973869064
0,"Drove Alone",2014,"2014",145569,5656,"Miami, FL","16000US1245000","miami-fl",0.7071742953470069
1,"Carpooled",2014,"2014",16065,2706.1055042255834,"Miami, FL","16000US1245000","miami-fl",0.078043780301779
2,"Public Transit",2014,"2014",22938,3054.7577645371493,"Miami, FL","16000US1245000","miami-fl",0.11143281870913208
3,"Taxi",2014,"2014",88,146,"Miami, FL","16000US1245000","miami-fl",0.0004275040564305355
4,"Motorcycle",2014,"2014",868,549,"Miami, FL","16000US1245000","miami-fl",0.004216744556610282
5,"Bicycle",2014,"2014",1913,643,"Miami, FL","16000US1245000","miami-fl",0.00929335522672289
