id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
40669,Skyy’s Lounge / Cozy,175412,Skyy,,Ward C (councilmember Richard Boggiano),40.73742,-74.05255,Private room,82,3,10,2019-10-12,0.08,2,364
63282,"2bed/2bath,furnished,doorman, by NY",304762,Gil,,Ward B (councilmember Mira Prinz-Arey),40.72813,-74.07037,Entire home/apt,2000,150,0,,,1,0
146144,Shared Room,266070,Patricia,,Ward E (councilmember James Solomon),40.71077,-74.03833,Shared room,200,2,0,,,1,0
215768,Minutes to Manhattan & Jersey Shore,846837,Charlaine,,Ward F (councilmember Jermaine D. Robinson),40.71663,-74.05799,Entire home/apt,106,6,127,2021-01-09,1.08,1,333
269266,Modern private 2 bedrooms apt minutes to NYC,1410590,Magda,,Ward F (councilmember Jermaine D. Robinson),40.71266,-74.06329,Entire home/apt,84,2,357,2021-04-20,3.11,7,356
270245,Private room with own bathroom close to NYC,1410590,Magda,,Ward F (councilmember Jermaine D. Robinson),40.71203,-74.06532,Private room,38,3,223,2021-02-20,1.96,7,331
271255,Large Room with private bathroom min to Manhattan,1410590,Magda,,Ward F (councilmember Jermaine D. Robinson),40.71258,-74.06284,Private room,59,2,257,2020-10-24,2.34,7,354
508581,7 MIN TO MANHATTAN - LARGE APT,2506890,Zachary,,Ward E (councilmember James Solomon),40.71979,-74.04549,Entire home/apt,139,28,55,2020-05-01,0.51,1,320
526615,"2 bedroom, minutes from bus stop to journal sq",2588186,Massimo,,Ward A (councilmember Denise Ridley),40.70552,-74.0969,Entire home/apt,59,31,4,2020-01-02,0.05,3,314
675483,Room & Private Bath~Minutes to NYC!,2259684,,,Ward E (councilmember James Solomon),40.72268,-74.04251,Private room,70,2,300,2021-04-18,2.86,1,63
818075,Lovely Apartment - close to NYC,4296829,Harriet,,Ward C (councilmember Richard Boggiano),40.73889,-74.05091,Entire home/apt,75,3,119,2021-01-05,1.19,1,292
938292,New apt in downtown JC minutes away from Manhattan,1450378,Alfredo,,Ward E (councilmember James Solomon),40.72371,-74.04931,Entire home/apt,68,29,9,2019-11-26,0.16,4,69
946048,Newly renovated small studio.  1 Month or more,1450378,Alfredo,,Ward E (councilmember James Solomon),40.72319,-74.04842,Entire home/apt,48,29,19,2021-02-28,0.34,4,28
949440,"Bright Garden Studio loft, 15 minutes to NYC",3530754,Laura,,Ward C (councilmember Richard Boggiano),40.72717,-74.06368,Entire home/apt,90,28,46,2021-01-24,0.49,1,0
971427,Nice Apt -10 minutes to Manhattan,4318265,Bob & Francois,,Ward E (councilmember James Solomon),40.71839,-74.04522,Entire home/apt,61,6,239,2021-04-16,2.42,2,126
999808,Huge Luxury Loft Share Downtown JC,972698,Neelum,,Ward F (councilmember Jermaine D. Robinson),40.71714,-74.0491,Private room,90,3,15,2018-11-08,0.15,1,34
1014258,Top floor apt w deck in Jersey City,5579774,Shannon,,Ward C (councilmember Richard Boggiano),40.73765,-74.04952,Entire home/apt,100,60,9,2020-10-20,0.11,1,261
1280528,Fantastic room with private bathroom close NYC!,1410590,Magda,,Ward F (councilmember Jermaine D. Robinson),40.71225,-74.06496,Private room,47,2,219,2021-03-21,2.29,7,342
1689068,Modern Artist loft in Jersey City - minutes to NYC,995128,Peter,,Ward D (councilmember Michael Yun),40.74235,-74.04666,Entire home/apt,175,30,2,2021-03-07,0.11,1,180
1879541,Beautiful apartment for your next NYC trip,4066032,Susie,,Ward E (councilmember James Solomon),40.7158,-74.04391,Entire home/apt,143,4,18,2020-08-17,0.21,1,80
1897139,Luxury Furnished 1 Bedroom Apartment Jersey City,9419684,Churchill,,Ward E (councilmember James Solomon),40.72426,-74.03671,Entire home/apt,150,27,20,2018-08-26,0.24,45,365
1897262,Modern 2 Bedroom Apartment in Jersey Citys Newport,9419684,Churchill,,Ward E (councilmember James Solomon),40.72426,-74.03671,Entire home/apt,249,27,7,2017-09-02,0.10,45,365
2062476,A room in private house - 20-35 minutes  from NYC,10554940,Vicky,,Ward F (councilmember Jermaine D. Robinson),40.70946,-74.07432,Private room,24,1,244,2021-04-12,6.52,1,132
2147906,"2 BR APT. Jersey City, Heights close to NYC!",10963325,Jose,,Ward C (councilmember Richard Boggiano),40.73987,-74.05443,Entire home/apt,136,2,243,2021-04-05,4.63,1,299
2149271,"DWTN Jersey City Art Studio Apt, long term stays",10969148,,,Ward E (councilmember James Solomon),40.72612,-74.04989,Entire home/apt,105,15,13,2021-03-27,0.25,1,360
2176306,"Dr Norton House@Lincoln Park JC,NJ",11099485,Stephen,,Ward B (councilmember Mira Prinz-Arey),40.71987,-74.07382,Entire home/apt,129,3,136,2021-04-07,1.58,1,326
2227861,"Cozy Private rm in Jersey City, mins to Manhattan",11369577,Mat,,Ward E (councilmember James Solomon),40.72509,-74.04261,Private room,89,1,9,2021-04-17,0.24,1,36
2243687,Modern 1 Bedroom Apartment in Jersey Citys Newport,9419684,Churchill,,Ward E (councilmember James Solomon),40.72365,-74.03602,Entire home/apt,156,27,5,2016-06-24,0.06,45,364
2243736,Jersey City NJ | Luxury 2 Bedroom Apt w/ Amenities,9419684,Churchill,,Ward E (councilmember James Solomon),40.72426,-74.03671,Entire home/apt,249,27,6,2020-01-01,0.10,45,365
2284989,Historic Brownstone in Jersey City,11672367,,,Ward F (councilmember Jermaine D. Robinson),40.71962,-74.0737,Private room,150,2,4,2015-07-20,0.05,1,365
2520640,NYC & Hudson River views (2 BR),12904260,Ramon,,Ward E (councilmember James Solomon),40.7149,-74.03435,Entire home/apt,195,28,4,2020-02-02,0.13,1,333
2647208,Historic Downtown. 2 blocks to 7min ride to NYC,7324809,Vanessa,,Ward E (councilmember James Solomon),40.71857,-74.04516,Entire home/apt,76,1,6,2017-09-04,0.10,1,81
2662979,Room with private bathroom min to Manhattan,1410590,Magda,,Ward E (councilmember James Solomon),40.72419,-74.05002,Private room,50,2,324,2021-04-23,3.78,7,353
2663502,Big room with private bathroom close to Manhatta,1410590,Magda,,Ward E (councilmember James Solomon),40.7243,-74.05055,Private room,61,2,337,2021-04-03,3.93,7,349
2879634,Beautiful apartment+extras NYC area,14717157,Dana & Guy,,Ward F (councilmember Jermaine D. Robinson),40.71126,-74.06053,Entire home/apt,83,3,219,2021-04-04,3.02,1,315
2928008,Small bedroom close to Manhattan!,1783558,Lauren,,Ward E (councilmember James Solomon),40.7255,-74.04348,Private room,69,3,1,2014-08-07,0.01,1,0
2979158,Comfy Artsy room 10 Min NYC,15194851,Yuzzy,,Ward C (councilmember Richard Boggiano),40.72628,-74.06352,Private room,70,4,1,2014-09-22,0.01,1,363
3167770,"Private, Beautiful, 5 mins to PATH!",10565533,Jayson-Tulay,,Ward E (councilmember James Solomon),40.72146,-74.04593,Entire home/apt,104,3,73,2021-04-22,0.87,1,330
3193538,Lrg Garden Studio w/Yard 29 Day Corporate,16186604,Edward,,Ward E (councilmember James Solomon),40.71492,-74.04007,Entire home/apt,105,29,203,2020-01-12,3.00,1,90
3415871,Designer Loft 10 mins to Manhattan,1231678,T,,Ward B (councilmember Mira Prinz-Arey),40.72787,-74.07708,Entire home/apt,145,3,0,,,1,1
3487433,Waterfront Loft - 7 mins to NYC!,16038,Festive,,Ward E (councilmember James Solomon),40.71721,-74.03863,Entire home/apt,254,28,9,2018-08-13,0.13,1,299
3510814,Beautiful Waterfront Condo,1835122,Abdullah,,Ward E (councilmember James Solomon),40.71344,-74.0359,Entire home/apt,99,28,9,2020-07-31,0.12,1,195
