id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
5570,Ocean front condo on the sand,8435,Jef Karchin,,Mission Bay,32.78481,-117.25313,Entire home/apt,2050,3,0,,,3,165
29967,"Great home, 10 min walk to Beach",129123,Michael,,Pacific Beach,32.80751,-117.2576,Entire home/apt,242,4,66,2021-06-30,0.49,5,209
38245,Point Loma: Den downstairs,164137,Melinda,,Roseville,32.74217,-117.21931,Private room,74,1,143,2019-10-20,1.46,3,325
54001,"La Jolla Cottage Blocks to Ocn; 2Bdms, 1Bth.",252692,Marsha,,La Jolla,32.81301,-117.26856,Entire home/apt,167,5,264,2021-07-11,5.59,2,62
62274,"charming, colorful, close to beach",302986,Isabel,,Pacific Beach,32.80583,-117.24244,Entire home/apt,83,1,659,2021-06-27,6.15,2,288
62949,Pacific Beach Cozy Private Hideaway Bikes Included,21532,Lisa,,Pacific Beach,32.80885,-117.23043,Entire home/apt,94,1,784,2021-07-11,9.74,2,42
67441,Canyon apartment hideaway,332552,Peter,,College Area,32.76347,-117.07753,Entire home/apt,73,30,5,2021-05-31,0.07,5,287
67520,NEW Downtown Loft - Breakfast & Beverages Included,333136,Amber,,East Village,32.7113,-117.15166,Entire home/apt,172,3,8,2021-07-12,0.07,3,323
75668,San Diego Living by JA 2,401936,Johnathon,,North Hills,32.74699,-117.14243,Private room,45,2,195,2020-09-30,2.32,2,85
77785,"Ideal for Work, Med Students, Grad Students",417659,Alicia,,Old Town,32.74827,-117.19059,Private room,72,32,17,2020-10-16,0.44,1,132
79300,San Diego living by JA 1,401936,Johnathon,,North Hills,32.74715,-117.1428,Private room,50,2,158,2021-06-21,2.40,2,137
103417,"La Jolla Retreat-Zen Lifestyle, More than a Room",252692,Marsha,,La Jolla,32.81321,-117.26853,Private room,123,4,225,2021-07-10,5.73,2,256
103720,Gaslamp Room - Hillcrest House Bed & Breakfast,507423,Ann,,Midtown,32.74779,-117.1648,Entire home/apt,189,1,74,2021-06-20,0.64,8,335
