longitude,latitude,information,location
-116.22777,33.71504,"INDIO CA 92201
(760) 342-8138",ARCO - 82338 HIGHWAY 111
-116.29458,33.71358,"LA QUINTA CA 92253
(760) 343-7112",ARCO - 46150 WASHINGTON STREET
-116.29703,33.76075,"PALM DESERT CA 92211
(760) 346-8571",ARCO - 78355 VARNER RD
-116.3743,33.72141,"PALM DESERT CA 92260
(760) 346-8571",ARCO - 73980 HIGHWAY 111
-116.38835,33.80823,"THOUSAND PALMS CA 92276
(951) 233-8581",ARCO - 32975 MONTEREY AVE
-116.40158,34.12716,"YUCCA VALLEY CA 92284
(760) 228-1301",ARCO - 57858 29 PALMS HWY
-116.45828,33.84797,"CATHEDRAL CITY CA 92234
(760) 322-4421",ARCO - 27900 DATE PALM DRIVE
-116.46718,33.81603,"CATHEDRAL CITY CA 92234
(760) 770-4134",ARCO - 68500 RAMON RD
-116.50144,33.9556,"DESERT HOT SPRINGS CA 92240
(760) 329-3138",ARCO - 12775 PALM DRIVE
-116.50159,33.90322,"DESERT HOT SPRINGS CA 92240
(760) 251-4134",ARCO - 22755 PALM DRIVE
-116.52788,33.84468,"PALM SPRINGS CA 92262
(760) 416-1031",ARCO - 1717 E VISTA CHINO
-116.78018,33.91788,"CABAZON CA 92230
(951) 849-4512",ARCO - 300 N FERN STREET
-116.86889,33.04198,"RAMONA CA 92065
(760) 789-3830",ARCO - 1015 MAIN STREET
-116.90122,33.92543,"BANNING CA 92220
(951) 849-2515",ARCO - 2228 W RAMSEY STREET
-116.93069,32.85599,"LAKESIDE CA 92040
(619) 561-2193",ARCO - 12109 WOODSIDE AVE
-116.93108,32.79989,"EL CAJON CA 92021
(619) 442-1621",ARCO - 1410 E MAIN STREET
-116.93132,32.85232,"LAKESIDE CA 92040
(619) 443-5333",ARCO - 9606 WINTER GARDENS
-116.93551,32.80428,"EL CAJON CA 92021
(619) 579-1303",ARCO - 725 N 2ND STREET
-116.94246,32.55366,"SAN DIEGO CA 92154
(619) 661-7242",ARCO - 2510 OTAY CENTER DRIVE
-116.94461,32.78764,"EL CAJON CA 92020
(619) 442-7317",ARCO - 1484 E WASHINGTON BV
-116.94945,33.74751,"HEMET CA 92544
",ARCO - 2105 E FLORIDA AVE
-116.95082,32.8012,"EL CAJON CA 92021
(619) 579-5023",ARCO - 593 N MOLLISON AVE
-116.95788,32.78749,"EL CAJON CA 92020
(619) 588-0937",ARCO - 700 AVOCADO RD
-116.95876,33.78046,"SAN JACINTO
(909) 654-9499",ARCO - 687 S SAN JACINTO AVE
-116.96217,32.81887,"EL CAJON CA 92020
(619) 442-2931",ARCO - 1525 N MAGNOLIA AVE
-116.96244,32.81873,"EL CAJON CA 92020
(619) 447-6348",ARCO - 1518 N MAGNOLIA AVE
-116.96759,32.79458,"EL CAJON CA 92020
(619) 588-2251",ARCO - 489 W MAIN STREET
-116.97144,32.79141,"EL CAJON CA 92020
(619) 588-2043",ARCO - 398 EL CAJON BLVD
-116.97162,33.75791,"HEMET CA 92543
 (951) 658-9677",ARCO - 690 N STATE STREET
-116.97223,33.79507,"SAN JACINTO CA 92582
(909) 654-0944",ARCO - 833 N RAMONA BLVD
-116.97633,33.72952,"HEMET CA 92543
(951) 766-9244",ARCO - 500 W STETSON AVE
-116.97976,32.80816,"EL CAJON CA 92020
(619) 448-9284",ARCO - 978 CUYAMACA STREET
-116.98342,32.83847,"SANTEE CA 92071
(619) 596-1672",ARCO - 9811 MISSION GORGE
-116.99024,32.77983,"LA MESA CA 91942
(619) 589-9842",ARCO - 9600 MURRAY DRIVE
-116.99648,32.84128,"SANTEE CA 92071
(619) 596-1505",ARCO - 9009 CAROLTON HILLS
-116.99667,32.56706,"SAN DIEGO CA 92154
(619) 661-0045",ARCO - 1625 HERITAGE RD
-117.00117,32.75147,"SPRING VALLEY CA 91977
(619) 462-5385",ARCO - 9108 CAMPO RD
-117.00182,32.75134,"SPRING VALLEY CA 91977
(619) 462-7666",ARCO - 9065 CAMPO RD
-117.02188,32.76781,"LA MESA CA 91941
(619) 337-0326",ARCO - 4925 SPRING STREET
-117.02613,32.74276,"LEMON GROVE CA 91945
(619) 464-6493",ARCO - 8001 BROADWAY
-117.02633,32.76522,"LA MESA CA 91941
(619) 469-2310",ARCO - 7974 UNIVERSITY AVE
-117.03144,32.7351,"LEMON GROVE CA 91945
(619) 589-2058",ARCO - 2717 LEMON GROVE AVE
-117.03365,32.76034,"LA MESA CA 91941
(619) 460-1952",ARCO - 7594 UNIVERSITY AVE
-117.03383,32.58401,"SAN DIEGO CA 92154
(619) 690-5405",ARCO - 4604 PALM AVE
-117.04263,32.74577,"LA MESA CA 91941
(619) 697-8174",ARCO - 3775 MASSACHUSETTS A
-117.04629,32.62859,"CHULA VISTA CA 91910
(619) 426-1029",ARCO - 401 TELEGRAPH CANYON
-117.04804,34.03403,"YUCAIPA CA 92399
(909) 790-3975",ARCO - 34696 YUCAIPA BLVD
-117.0496,32.74096,"LEMON GROVE CA 91945
(619) 465-6152",ARCO - 6901 FEDERAL BLVD
-117.0588,33.13029,"ESCONDIDO CA 92027
(760) 741-5960",ARCO - 1550 E GRAND AVE
-117.06284,32.76363,"SAN DIEGO CA 92115
(619) 582-3013",ARCO - 6301 EL CAJON BLVD
-117.0646,32.75296,"SAN DIEGO CA 92115
(619) 582-9370",ARCO - 6098 UNIVERSITY AVE
-117.06489,32.59491,"CHULA VISTA CA 91911
(619) 654-4940",ARCO - 3190 MAIN STREET
-117.07337,32.6242,"CHULA VISTA CA 91910
(619) 422-4319",ARCO - 798 3RD AVE
-117.07395,32.68183,"NATIONAL CITY CA 91950
(619) 267-8693",ARCO - 1139 HARBISON AVE
-117.07465,32.59414,"CHULA VISTA CA 91911
(619) 429-1631",ARCO - 1725 BROADWAY
-117.07478,33.02266,"SAN DIEGO CA 92128
(858) 487-1565",ARCO - 11891 RANCHO BERNARDO RD
-117.07681,33.73956,"HEMET CA 92545
(951) 926-5132",ARCO - 33440 CA HWY 74
-117.08345,33.11591,"ESCONDIDO CA 92025
(760) 745-2087",ARCO - 434 W 5TH AVE
-117.08484,32.72467,"SAN DIEGO CA 92105
(619) 263-7154",ARCO - 1817 EUCLID AVE
-117.08521,32.58367,"SAN DIEGO CA 92154
(619) 423-7374",ARCO - 2255 PALM AVE
-117.08566,32.64367,"CHULA VISTA CA 91910
(619) 422-4214",ARCO - 407 E STREET
-117.08805,32.60423,"CHULA VISTA CA 91911
(619) 424-7040",ARCO - 800 PALOMAR STREET
-117.08819,33.12578,"ESCONDIDO CA 92025
(760) 737-2984",ARCO - 300 W WASHINGTON AVE
